,watchId,timeFromStart,time,heartRate,confidence,ppgRaw,ppgFilter,timeDifference
0,W002,39052,2025-06-09 15:47:40.080000-04:00,84,19,3662,7680,
1,W002,39094,2025-06-09 15:47:40.122000-04:00,84,19,3630,-1280,42.0
2,W002,39135,2025-06-09 15:47:40.163000-04:00,84,19,3630,-1024,41.0
3,W002,39177,2025-06-09 15:47:40.205000-04:00,84,19,3638,1280,42.0
4,W002,39218,2025-06-09 15:47:40.246000-04:00,84,19,3630,-768,41.0
5,W002,39260,2025-06-09 15:47:40.288000-04:00,84,19,3622,-2560,42.0
6,W002,39301,2025-06-09 15:47:40.329000-04:00,84,19,3582,-12288,41.0
7,W002,39346,2025-06-09 15:47:40.374000-04:00,84,19,3574,-12800,45.0
8,W002,39385,2025-06-09 15:47:40.413000-04:00,84,19,3550,-17152,39.0
9,W002,39434,2025-06-09 15:47:40.462000-04:00,84,19,3518,-23040,49.0
10,W002,39517,2025-06-09 15:47:40.545000-04:00,84,19,3494,-23296,83.0
11,W002,39593,2025-06-09 15:47:40.621000-04:00,84,19,3454,-27136,76.0
12,W002,39635,2025-06-09 15:47:40.663000-04:00,84,19,3422,-31744,42.0
13,W002,39678,2025-06-09 15:47:40.706000-04:00,84,19,3422,-27648,43.0
14,W002,39717,2025-06-09 15:47:40.745000-04:00,84,19,3478,-9728,39.0
15,W002,39759,2025-06-09 15:47:40.787000-04:00,84,19,3542,7936,42.0
16,W002,39800,2025-06-09 15:47:40.828000-04:00,84,19,3550,9216,41.0
17,W002,39842,2025-06-09 15:47:40.870000-04:00,84,19,3542,6144,42.0
18,W002,39884,2025-06-09 15:47:40.912000-04:00,84,19,3534,3328,42.0
19,W002,39925,2025-06-09 15:47:40.953000-04:00,84,19,3510,-3072,41.0
20,W002,39967,2025-06-09 15:47:40.995000-04:00,84,19,3494,-6656,42.0
21,W002,40008,2025-06-09 15:47:41.036000-04:00,84,19,3502,-3584,41.0
22,W002,40050,2025-06-09 15:47:41.078000-04:00,84,45,3510,-1024,42.0
23,W002,40092,2025-06-09 15:47:41.120000-04:00,84,45,3502,-2816,42.0
24,W002,40133,2025-06-09 15:47:41.161000-04:00,84,45,3478,-8448,41.0
25,W002,40175,2025-06-09 15:47:41.203000-04:00,84,45,3438,-17408,42.0
26,W002,40216,2025-06-09 15:47:41.244000-04:00,84,45,3422,-19200,41.0
27,W002,40258,2025-06-09 15:47:41.286000-04:00,84,45,3414,-18688,42.0
28,W002,40299,2025-06-09 15:47:41.327000-04:00,84,45,3374,-26368,41.0
29,W002,40341,2025-06-09 15:47:41.369000-04:00,84,45,3358,-27136,42.0
30,W002,40385,2025-06-09 15:47:41.413000-04:00,84,45,3326,-31744,44.0
31,W002,40424,2025-06-09 15:47:41.452000-04:00,84,45,3278,-32768,39.0
32,W002,40474,2025-06-09 15:47:41.502000-04:00,84,45,3222,-32768,50.0
33,W002,40557,2025-06-09 15:47:41.585000-04:00,84,45,3070,-32768,83.0
34,W002,40674,2025-06-09 15:47:41.702000-04:00,84,45,3054,-32768,117.0
35,W002,40718,2025-06-09 15:47:41.746000-04:00,84,45,3118,-32768,44.0
36,W002,40757,2025-06-09 15:47:41.785000-04:00,84,45,3118,-32000,39.0
37,W002,40798,2025-06-09 15:47:41.826000-04:00,84,45,3070,-32768,41.0
38,W002,40840,2025-06-09 15:47:41.868000-04:00,84,45,3070,-32768,42.0
39,W002,40882,2025-06-09 15:47:41.910000-04:00,84,45,3054,-32768,42.0
40,W002,40924,2025-06-09 15:47:41.952000-04:00,84,45,3038,-32768,42.0
41,W002,40965,2025-06-09 15:47:41.993000-04:00,84,45,3034,-30976,41.0
42,W002,41006,2025-06-09 15:47:42.034000-04:00,84,45,3030,-27904,41.0
43,W002,41048,2025-06-09 15:47:42.076000-04:00,84,45,3030,-24320,42.0
44,W002,41090,2025-06-09 15:47:42.118000-04:00,84,22,3022,-23296,42.0
45,W002,41131,2025-06-09 15:47:42.159000-04:00,84,22,2998,-26368,41.0
46,W002,41173,2025-06-09 15:47:42.201000-04:00,84,22,2974,-29184,42.0
47,W002,41214,2025-06-09 15:47:42.242000-04:00,84,22,2942,-32768,41.0
48,W002,41256,2025-06-09 15:47:42.284000-04:00,84,22,2934,-31232,42.0
49,W002,41297,2025-06-09 15:47:42.325000-04:00,84,22,2926,-29184,41.0
50,W002,41339,2025-06-09 15:47:42.367000-04:00,84,22,2910,-29440,42.0
51,W002,41381,2025-06-09 15:47:42.409000-04:00,84,22,2894,-29696,42.0
52,W002,41425,2025-06-09 15:47:42.453000-04:00,84,22,2894,-25856,44.0
53,W002,41464,2025-06-09 15:47:42.492000-04:00,84,22,2862,-30720,39.0
54,W002,41513,2025-06-09 15:47:42.541000-04:00,84,22,2862,-26880,49.0
55,W002,41596,2025-06-09 15:47:42.624000-04:00,84,22,2838,-25856,83.0
56,W002,41713,2025-06-09 15:47:42.741000-04:00,84,22,2966,12544,117.0
57,W002,41758,2025-06-09 15:47:42.786000-04:00,84,22,2966,11008,45.0
58,W002,41796,2025-06-09 15:47:42.824000-04:00,84,22,2942,3584,38.0
59,W002,41838,2025-06-09 15:47:42.866000-04:00,84,22,2934,1280,42.0
60,W002,41879,2025-06-09 15:47:42.907000-04:00,84,22,2910,-4864,41.0
61,W002,41921,2025-06-09 15:47:42.949000-04:00,84,22,2894,-8192,42.0
62,W002,41963,2025-06-09 15:47:42.991000-04:00,84,22,2910,-3072,42.0
63,W002,42004,2025-06-09 15:47:43.032000-04:00,84,22,2910,-2560,41.0
64,W002,42046,2025-06-09 15:47:43.074000-04:00,84,16,2910,-2048,42.0
65,W002,42087,2025-06-09 15:47:43.115000-04:00,84,16,2894,-5888,41.0
66,W002,42129,2025-06-09 15:47:43.157000-04:00,84,16,2870,-11264,42.0
67,W002,42170,2025-06-09 15:47:43.198000-04:00,84,16,2858,-12800,41.0
68,W002,42212,2025-06-09 15:47:43.240000-04:00,84,16,2814,-22272,42.0
69,W002,42254,2025-06-09 15:47:43.282000-04:00,84,16,2814,-19456,42.0
70,W002,42296,2025-06-09 15:47:43.324000-04:00,84,16,2814,-16896,42.0
71,W002,42337,2025-06-09 15:47:43.365000-04:00,84,16,2798,-18688,41.0
72,W002,42378,2025-06-09 15:47:43.406000-04:00,84,16,2782,-20224,41.0
73,W002,42420,2025-06-09 15:47:43.448000-04:00,84,16,2750,-25856,42.0
74,W002,42464,2025-06-09 15:47:43.492000-04:00,84,16,2734,-26624,44.0
75,W002,42503,2025-06-09 15:47:43.531000-04:00,84,16,2718,-27392,39.0
76,W002,42546,2025-06-09 15:47:43.574000-04:00,84,16,2686,-32000,43.0
77,W002,42587,2025-06-09 15:47:43.615000-04:00,84,16,2686,-27904,41.0
78,W002,42636,2025-06-09 15:47:43.664000-04:00,84,16,2766,-3840,49.0
